time (min),1
0,7.86
0.2,7.87
0.3,7.89
0.5,7.9
0.7,7.87
0.8,7.82
1,7.84
1.2,7.84
1.3,7.86
1.5,7.81
1.7,7.83
1.8,7.8
2,7.76
2.2,7.77
2.3,7.78
2.5,7.76
2.7,7.78
2.8,7.78
3,7.79
3.2,7.75
3.3,7.73
3.5,7.74
3.7,7.74
3.8,7.73
4,7.71
4.2,7.71
4.3,7.71
4.5,7.72
4.7,7.7
4.8,7.69
5,7.69
5.2,7.7
5.3,7.7
5.5,7.68
5.7,7.65
5.8,7.66
6,7.68
6.2,7.69
6.3,7.64
6.5,7.64
6.7,7.65
6.8,7.65
7,7.63
7.2,7.61
7.3,7.64
7.5,7.65
7.7,7.63
7.8,7.63
8,7.58
8.2,7.6
8.3,7.6
8.5,7.59
8.7,7.56
8.8,7.55
9,7.6
9.2,7.56
9.3,7.55
9.5,7.56
9.7,7.54
9.8,7.56
10,7.58
10.2,7.54
10.3,7.52
10.5,7.53
10.7,7.52
10.8,7.51
11,7.49
11.2,7.51
11.3,7.51
11.5,7.49
11.7,7.49
11.8,7.5
12,7.48
12.2,7.5
12.3,7.49
12.5,7.49
12.7,7.45
12.8,7.45
13,7.47
13.2,7.45
13.3,7.45
13.5,7.45
13.7,7.44
13.8,7.45
14,7.44
14.2,7.44
14.3,7.42
14.5,7.43
14.7,7.41
14.8,7.38
15,7.38
15.2,7.4
15.3,7.39
15.5,7.38
15.7,7.37
15.8,7.36
16,7.41
16.2,7.38
16.3,7.38
16.5,7.33
