Date & time of file creation,02/07/2015 3:57 PM,,,,,,,
Data file path,C:\Users\LaurenChapmanLab\Desktop\tyler resp\july2-3_GV-6-T.txt,,,,,,,
,,,,,,,,
,,,,,,,,
CALIBRATION DATA,,,,,,,,
Parameter/Channel,N moving average,LO phase [r.U.],HI phase [r.U.],LO oxygen [%air saturation],HI oxygen [%air saturation],LO temperature [°C],HI temperature [°C],Salinity [‰]
"SDWA0002000029      , CH 1",1,58.87,29.70,0.00,100.00,21.60,20.39,0.000
,,,,,,,,
,,,,,,,,
Date&Time,Timestampcode,Barometric pressure[hPa],CH1phase[r.U.],CH1temp[°C],CH1O2[mg/L],,,
00:05:52,3518740989,1013.00,29.97,22.42,8.120,,,
00:05:54,3518740990,1013.00,29.97,22.41,8.123,,,
00:05:56,3518740991,1013.00,29.99,22.42,8.106,,,
00:05:58,3518740992,1013.00,29.97,22.41,8.123,,,
00:06:00,3518740993,1013.00,29.99,22.47,8.089,,,
00:06:02,3518740994,1013.00,29.96,22.52,8.095,,,
00:06:04,3518740995,1013.00,29.97,22.55,8.078,,,
00:06:06,3518740996,1013.00,29.97,22.52,8.088,,,
00:06:08,3518740997,1013.00,29.95,22.51,8.105,,,
00:06:10,3518740998,1013.00,29.99,22.42,8.106,,,
00:06:12,3518740999,1013.00,29.98,22.45,8.103,,,
00:06:14,3518741000,1013.00,29.99,22.42,8.106,,,
00:06:16,3518741001,1013.00,29.94,22.40,8.149,,,
00:06:18,3518741002,1013.00,29.98,22.39,8.123,,,
00:06:20,3518741003,1013.00,29.97,22.44,8.114,,,
00:06:22,3518741004,1013.00,29.99,22.32,8.138,,,
00:06:24,3518741005,1013.00,29.97,22.35,8.143,,,
00:06:26,3518741006,1013.00,29.96,22.38,8.140,,,
00:06:28,3518741007,1013.00,29.99,22.39,8.115,,,
00:06:30,3518741008,1013.00,29.96,22.42,8.127,,,
00:06:32,3518741009,1013.00,29.98,22.49,8.090,,,
00:06:34,3518741010,1013.00,29.97,22.50,8.094,,,
00:06:36,3518741011,1013.00,29.96,22.51,8.098,,,
00:06:38,3518741012,1013.00,30.00,22.52,8.066,,,
00:06:40,3518741013,1013.00,29.98,22.48,8.093,,,
00:06:42,3518741014,1013.00,29.97,22.49,8.097,,,
00:06:44,3518741015,1013.00,29.97,22.56,8.075,,,
00:06:46,3518741016,1013.00,29.97,22.56,8.075,,,
00:06:48,3518741017,1013.00,29.98,22.47,8.097,,,
00:06:50,3518741018,1013.00,29.98,22.51,8.084,,,
00:06:52,3518741019,1013.00,29.99,22.43,8.102,,,
00:06:54,3518741020,1013.00,29.98,22.30,8.152,,,
00:06:56,3518741021,1013.00,29.97,22.26,8.172,,,
00:06:58,3518741022,1013.00,29.99,22.32,8.138,,,
00:07:00,3518741023,1013.00,30.00,22.31,8.134,,,
00:07:02,3518741024,1013.00,29.97,22.36,8.140,,,
00:07:04,3518741025,1013.00,29.96,22.40,8.134,,,
00:07:06,3518741026,1013.00,30.00,22.40,8.105,,,
00:07:08,3518741027,1013.00,29.97,22.37,8.136,,,
00:07:10,3518741028,1013.00,29.99,22.31,8.141,,,
00:07:12,3518741029,1013.00,29.97,22.27,8.169,,,
00:07:14,3518741030,1013.00,29.97,22.28,8.166,,,
00:07:16,3518741031,1013.00,29.97,22.28,8.166,,,
00:07:18,3518741032,1013.00,29.97,22.35,8.143,,,
00:07:20,3518741033,1013.00,29.96,22.38,8.140,,,
00:07:22,3518741034,1013.00,29.99,22.48,8.086,,,
00:07:24,3518741035,1013.00,29.97,22.49,8.097,,,
00:07:26,3518741036,1013.00,29.98,22.53,8.077,,,
00:07:28,3518741037,1013.00,29.94,22.46,8.129,,,
00:07:30,3518741038,1013.00,30.00,22.44,8.092,,,
00:07:32,3518741039,1013.00,29.99,22.39,8.115,,,
00:07:34,3518741040,1013.00,29.97,22.35,8.143,,,
00:07:36,3518741041,1013.00,29.99,22.32,8.138,,,
00:07:38,3518741042,1013.00,29.99,22.33,8.135,,,
00:07:40,3518741043,1013.00,29.99,22.37,8.122,,,
00:07:42,3518741044,1013.00,29.99,22.36,8.125,,,
00:07:44,3518741045,1013.00,29.99,22.35,8.128,,,
00:07:46,3518741046,1013.00,29.99,22.33,8.135,,,
00:07:48,3518741047,1013.00,29.97,22.37,8.136,,,
00:07:50,3518741048,1013.00,29.96,22.37,8.144,,,
00:07:52,3518741049,1013.00,29.97,22.43,8.117,,,
00:07:54,3518741050,1013.00,29.99,22.47,8.089,,,
00:07:56,3518741051,1013.00,29.96,22.54,8.089,,,
00:07:58,3518741052,1013.00,29.99,22.54,8.067,,,
00:08:00,3518741053,1013.00,30.00,22.51,8.069,,,
00:08:02,3518741054,1013.00,29.97,22.45,8.110,,,
00:08:04,3518741055,1013.00,29.98,22.44,8.106,,,
00:08:06,3518741056,1013.00,29.98,22.44,8.106,,,
00:08:08,3518741057,1013.00,29.98,22.47,8.097,,,
00:08:10,3518741058,1013.00,29.96,22.45,8.118,,,
00:08:12,3518741059,1013.00,29.97,22.52,8.088,,,
00:08:14,3518741060,1013.00,29.99,22.50,8.080,,,
00:08:16,3518741061,1013.00,29.97,22.47,8.104,,,
00:08:18,3518741062,1013.00,30.01,22.40,8.097,,,
00:08:20,3518741063,1013.00,29.97,22.40,8.127,,,
00:08:22,3518741064,1013.00,29.96,22.37,8.144,,,
00:08:24,3518741065,1013.00,30.00,22.32,8.131,,,
00:08:26,3518741066,1013.00,29.96,22.33,8.157,,,
00:08:28,3518741067,1013.00,29.97,22.41,8.123,,,
00:08:30,3518741068,1013.00,29.98,22.47,8.097,,,
00:08:32,3518741069,1013.00,29.97,22.40,8.127,,,
00:08:34,3518741070,1013.00,30.00,22.38,8.111,,,
00:08:36,3518741071,1013.00,29.97,22.36,8.140,,,
00:08:38,3518741072,1013.00,29.98,22.32,8.145,,,
00:08:40,3518741073,1013.00,29.97,22.31,8.156,,,
00:08:42,3518741074,1013.00,29.98,22.34,8.139,,,
00:08:44,3518741075,1013.00,29.96,22.42,8.127,,,
00:08:46,3518741076,1013.00,29.99,22.35,8.128,,,
00:08:48,3518741077,1013.00,29.99,22.38,8.118,,,
00:08:50,3518741078,1013.00,29.98,22.35,8.136,,,
00:08:52,3518741079,1013.00,30.00,22.33,8.127,,,
00:08:54,3518741080,1013.00,29.99,22.33,8.135,,,
00:08:56,3518741081,1013.00,29.96,22.43,8.124,,,
00:08:58,3518741082,1013.00,29.98,22.41,8.116,,,
00:09:00,3518741083,1013.00,29.96,22.43,8.124,,,
00:09:02,3518741084,1013.00,29.99,22.52,8.073,,,
00:09:04,3518741085,1013.00,29.96,22.48,8.108,,,
00:09:06,3518741086,1013.00,29.98,22.48,8.093,,,
00:09:08,3518741087,1013.00,29.98,22.42,8.113,,,
00:09:10,3518741088,1013.00,30.01,22.40,8.097,,,
00:09:12,3518741089,1013.00,29.98,22.35,8.136,,,
00:09:14,3518741090,1013.00,29.97,22.36,8.140,,,
00:09:16,3518741091,1013.00,29.99,22.34,8.131,,,
00:09:18,3518741092,1013.00,29.99,22.42,8.106,,,
00:09:20,3518741093,1013.00,29.96,22.41,8.131,,,
00:09:22,3518741094,1013.00,29.96,22.36,8.147,,,
00:09:24,3518741095,1013.00,29.96,22.30,8.166,,,
00:09:26,3518741096,1013.00,29.99,22.34,8.131,,,
00:09:28,3518741097,1013.00,29.97,22.28,8.166,,,
00:09:30,3518741098,1013.00,29.98,22.30,8.152,,,
00:09:32,3518741099,1013.00,29.99,22.35,8.128,,,
00:09:34,3518741100,1013.00,29.96,22.41,8.131,,,
00:09:36,3518741101,1013.00,29.98,22.37,8.129,,,
00:09:38,3518741102,1013.00,29.97,22.41,8.123,,,
00:09:40,3518741103,1013.00,29.98,22.42,8.113,,,
00:09:42,3518741104,1013.00,29.99,22.45,8.096,,,
00:09:44,3518741105,1013.00,29.96,22.47,8.111,,,
00:09:46,3518741106,1013.00,29.97,22.48,8.101,,,
00:09:48,3518741107,1013.00,29.98,22.49,8.090,,,
00:09:50,3518741108,1013.00,30.00,22.49,8.076,,,
00:09:52,3518741109,1013.00,29.98,22.39,8.123,,,
00:09:54,3518741110,1013.00,30.00,22.40,8.105,,,
00:09:56,3518741111,1013.00,29.96,22.40,8.134,,,
00:09:58,3518741112,1013.00,29.97,22.34,8.146,,,
00:10:00,3518741113,1013.00,29.97,22.33,8.149,,,
00:10:02,3518741114,1013.00,29.97,22.40,8.127,,,
00:10:04,3518741115,1013.00,29.97,22.43,8.117,,,
00:10:06,3518741116,1013.00,29.96,22.45,8.118,,,
00:10:08,3518741117,1013.00,30.00,22.54,8.060,,,
00:10:10,3518741118,1013.00,29.98,22.53,8.077,,,
00:10:12,3518741119,1013.00,29.99,22.53,8.070,,,
00:10:14,3518741120,1013.00,29.96,22.45,8.118,,,
00:10:16,3518741121,1013.00,30.00,22.41,8.101,,,
00:10:18,3518741122,1013.00,29.97,22.34,8.146,,,
00:10:20,3518741123,1013.00,29.98,22.32,8.145,,,
00:10:22,3518741124,1013.00,29.98,22.38,8.126,,,
